constructor,titles,nation,race_wins,race_starts,pole_positions,first_entry
Ferrari,16,Italy,239,994,221,1950
Williams,9,United Kingdom,114,723,128,1978
McLaren,8,United Kingdom,182,866,155,1966
Lotus,7,United Kingdom,74,489,102,1958
Mercedes,6,Germany,105,213,115,1954
RedBull,4,Austria,62,289,62,2005
Cooper,2,United Kingdom,16,129,11,1950
Brabham,2,United Kingdom,35,394,40,1962
Renault,2,France,35,386,51,1977
Vanwall,1,United Kingdom,9,28,7,1954
BRM,1,United Kingdom,17,197,11,1951
Matra,1,France,9,61,4,1967
Tyrrell,1,United Kingdom,33,463,19,1968
Benetton,1,United Kingdom,27,260,15,1986
Brawn,1,United Kingdom,8,17,5,2009
