driver,titles,nation
Michael Schumacher,7,Germany
Lewis Hamilton,6,United Kingdom
Juan Manuel Fangio,5,Argentina
Alain Prost,4,France
Sebastian Vettel,4,Germany
Jack Brabham,3,Australia
Jackie Stewart,3,United Kingdom
Niki Lauda,3,Austria
Nelson Piquet,3,Brazil
Ayrton Senna,3,Brazil
Alberto Ascari,2,Italy
Graham Hill,2,United Kingdom
Jim Clark,2,United Kingdom
Emerson Fittipaldi,2,Brazil
Mika Hakkinen,2,Finland
Fernando Alonso,2,Spain
Giuseppe Farina,1,Italy
Make Hawthorn,1,United Kingdom
Phil Hill,1,USA
John Surtees,1,United Kingdom
Denny Hulme,1,Australia
Jochen Rindt,1,Austria
James Hunt,1,United Kingdom
Mario Andretti,1,USA
Jody Scheckter,1,South Africa
Alan Jones,1,Australia
Keke Rosberg,1,Finland
Nigel Mansell,1,United Kingdom
Damon Hill,1,United Kingdom
Jacques Villeneuve,1,Canada
Kimi Raikkonen,1,Finland
Jenson Button,1,United Kingdom
Nico Rosberg,1,Germany
